Assignment,Started,Completed,Submitted in Canvas,Added to GitHub Portfolio,Notes
Course Orientation,,,,Not applicable,
GitHub Account Setup,,,,,
GitHub Pages Portfolio Setup,,,,,
Mission 01: Security Team Onboarding,,,,,
Mission 02: Asset Discovery,,,,,
Mission 03: Network Redesign,,,,,
Mission 04: Identity and Access Audit,,,,,
Mission 05: Protect Sensitive Data,,,,,
Mission 06: Social Engineering Defense,,,,,
Mission 07: Suspicious Activity Investigation,,,,,
Mission 08: Vulnerability Assessment,,,,,
Mission 09: System Hardening,,,,,
Mission 10: Security Monitoring,,,,,
Mission 11: Network Defense,,,,,
Mission 12: Incident Response,,,,,
Mission 13: Backup and Recovery,,,,,
Mission 14: Risk and Governance,,,,,
Mission 15: Capstone Security Assessment,,,,,
Mission 16: Incident Injection and Executive Defense,,,,,
Midterm Practical,,,,Not applicable,
Capstone Assessment Package,,,,,
Final GitHub Portfolio Review,,,,,
