Mission,Title,Operational phase,Primary domain,SY0-701 objective areas,Portfolio artifact
01,Security Team Onboarding,Discover,General concepts,"1.1, 1.2, 5.1",Baseline assessment summary
02,Asset Discovery,Discover,Architecture,"1.1, 3.3, 4.2",Asset inventory case study
03,Network Redesign,Discover,Architecture,"1.2, 3.1, 3.2",Network redesign diagram
04,Identity and Access Audit,Protect,Operations,"1.2, 4.6, 5.1",Identity and access case study
05,Protect Sensitive Data,Protect,Architecture,"1.4, 3.3",Cryptography lab documentation
06,Social Engineering Defense,Protect,Threats,"2.1, 2.2, 5.6",Security awareness campaign
07,Suspicious Activity Investigation,Detect,Threats,"2.3, 2.4, 4.9",Threat investigation write-up
08,Vulnerability Assessment,Protect,Threats,"2.3, 2.5, 4.3, 5.5",Vulnerability management case study
09,System Hardening,Protect,Operations,"1.3, 2.5, 4.1, 4.5",Before-and-after hardening report
10,Security Monitoring,Detect,Operations,"4.4, 4.7, 4.9",Detection engineering mini project
11,Network Defense,Detect,Architecture,"3.2, 4.4, 4.5",Packet analysis and defense report
12,Incident Response,Respond,Operations,"4.8, 4.9",Incident response case study
13,Backup and Recovery,Respond,Architecture,"3.4, 5.1, 5.2",Backup validation report
14,Risk and Governance,Lead,Program management,5.1 through 5.5,Risk advisory brief
15,Capstone Security Assessment,Lead,Integrated,Integrated review,Capstone technical report
16,Incident Injection and Executive Defense,Lead,Integrated,Integrated review,Final executive presentation
